num,score
PORTRAIT1309,1
OUTDOOR1039,1
CUHKPQ28314,0
315855,0.666433566
236102,0.396698113
CUHKPQ2603,1
CUHKPQ24178,0
CUHKPQ19542,0
GLAMOUR1851,1
GLAMOUR2129,1
454307,0.45813253
NG2877,1
OUTDOOR1729,1
315497,0.424279835
SPAQ09327,0.3467
AM1509,0.37
32771,0.399086758
CUHKPQ14363,0
CUHKPQ78,1
PN4019459,0.833
1237377,0.68864
SPAQ05565,0.2383
CUHKPQ10986,0
39410,0.364150943
509937,0.736842105
CUHKPQ2410,1
NG1870,1
CUHKPQ12922,0
PSA2673,1
906721,0.394067797
OUTDOOR986,1
CUHKPQ19631,0
NG4093,1
GLAMOUR2199,1
GLAMOUR1510,1
55473,0.245957447
PN4008476,0.697
CUHKPQ22733,0
AM489,0.45
CUHKPQ27897,0
PN1567068,0.723
CUHKPQ9245,1
728673,0.700995025
CUHKPQ8153,1
CUHKPQ19613,0
NG2650,1
57928,0.3856
91906,0.449710983
PN2453729,0.788
782770,0.378756477
PN871859,0.913
709883,0.717258883
CUHKPQ786,1
AF433,0.7833334
PN4009530,0.745
CUHKPQ23899,0
CUHKPQ14892,0
AM1685,0.82
SPAQ10739,0.3257
225830,0.438554217
NG1873,1
CUHKPQ28113,0
FA374,0.816543226
CUHKPQ7241,1
801828,0.343809524
PORTRAIT943,1
CUHKPQ15560,0
OUTDOOR1345,1
NG1123,1
CUHKPQ285,1
CUHKPQ16871,0
1251956,0.70816
CUHKPQ19621,0
CUHKPQ22032,0
8201,0.308270677
60696,0.37480916
PORTRAIT4144,1
PN2430556,0.823
OUTDOOR1713,1
PN7010086,0.745
CUHKPQ277,1
72190,0.377946768
CUHKPQ626,1
CUHKPQ1444,1
CM716,0.8266666
CUHKPQ13076,0
JX98,1
CUHKPQ28972,0
550095,0.371428571
CUHKPQ563,1
728710,0.711111111
PSA2181,1
CUHKPQ16072,0
CUHKPQ8412,1
NG2825,1
842601,0.660215054
SPAQ10600,0.2414
CUHKPQ24388,0
SPAQ06786,0.376
235269,0.398728814
CUHKPQ13877,0
859219,0.398404255
CUHKPQ19563,0
275939,0.661904762
PSA1385,1
PSA1566,1
PN4033289,0.727
893221,0.710714286
SPAQ05271,0.0967
NG2985,1
CUHKPQ16785,0
NG4047,1
PSA1406,1
PORTRAIT2095,1
CUHKPQ20957,0
PN2188221,0.725
CUHKPQ27703,0
64532,0.382242991
CUHKPQ22542,0
PN7008396,0.833
85268,0.725
CUHKPQ10213,1
66339,0.383272727
CUHKPQ28149,0
1247864,0.71471
SPAQ10093,0.1957
SPAQ00696,0.3857
1246246,0.72553
NG1576,1
779786,0.738372093
PSA737,1
GLAMOUR604,1
NG3982,1
SPAQ04973,0.37
GLAMOUR1993,1
84628,0.664184397
FA399,0.355190282
CUHKPQ5900,1
CUHKPQ6557,1
CUHKPQ2815,1
PSA2859,1
PORTRAIT3716,1
190214,0.348039216
666946,0.386069652
CUHKPQ2048,1
54977,0.329707113
CUHKPQ11489,0
CUHKPQ11130,0
CUHKPQ10230,1
998852,0.33665
SPAQ07456,0.1425
CUHKPQ28776,0
PSA2495,1
GLAMOUR1598,1
1169833,0.67143
CUHKPQ14453,0
CUHKPQ4515,1
CUHKPQ12150,0
CUHKPQ7614,1
828871,0.285950413
CUHKPQ11423,0
CUHKPQ17581,0
PSA2557,1
OUTDOOR1064,1
109191,0.449808429
CUHKPQ14167,0
666447,0.443850267
CUHKPQ23740,0
CUHKPQ25425,0
531898,0.701351351
CUHKPQ29067,0
CUHKPQ12776,0
CUHKPQ44,1
CM722,0.86
CUHKPQ5792,1
431633,0.392090395
OUTDOOR444,1
297225,0.34
CUHKPQ16406,0
CUHKPQ12795,0
CUHKPQ22244,0
CUHKPQ23795,0
PN3199258,0.737
CUHKPQ29091,0
CUHKPQ27146,0
CUHKPQ14577,0
PN4047346,0.882
992961,0.75241
CUHKPQ15067,0
PSA1933,1
998849,0.71647
5014,0.382377049
CUHKPQ17282,0
940095,0.332026144
CUHKPQ11041,0
SPAQ10811,0.32
835408,0.679638009
769864,0.397660819
PSA2138,1
278939,0.319630485
770410,0.386105263
PSA2204,1
NG3599,1
128452,0.458609272
913060,0.359281437
OUTDOOR1469,1
NG1999,1
NG2692,1
PN4074146,0.817
CUHKPQ20664,0
NG2426,1
CUHKPQ6935,1
29173,0.448309179
CUHKPQ10987,0
PN4067633,0.73
CUHKPQ2165,1
OUTDOOR821,1
197615,0.459851301
PN4023606,0.727
CUHKPQ24597,0
808138,0.422297297
270589,0.409545455
PSA1777,1
PN4015044,0.803
PN4076247,0.757
PORTRAIT2215,1
SPAQ03510,0.2746
SPAQ01800,0.36
21423,0.270718232
762922,0.707749077
CUHKPQ6917,1
CUHKPQ24868,0
CUHKPQ7053,1
CUHKPQ16958,0
CUHKPQ26662,0
377470,0.388834951
333439,0.397058824
CUHKPQ3308,1
PN2281047,0.892
52012,0.317171717
PSA1695,1
CUHKPQ13943,0
50250,0.36025641
CUHKPQ25872,0
947347,0.799378882
NG1982,1
832333,0.718918919
PSA3181,1
CUHKPQ3812,1
CUHKPQ15298,0
44619,0.750381679
PORTRAIT3024,1
CUHKPQ25152,0
CUHKPQ2632,1
252479,0.378225806
792209,0.423553719
CUHKPQ5146,1
CUHKPQ26823,0
CUHKPQ19454,0
203137,0.382571429
442550,0.337755102
CUHKPQ14847,0
SPAQ01768,0.3914
49034,0.335443038
CUHKPQ16914,0
PN4065118,0.667
CUHKPQ24010,0
282122,0.448540146
PSA1308,1
PSA1607,1
CUHKPQ29578,0
PSA3045,1
PN4046033,0.722
NG1600,1
205871,0.397683398
PN593691,0.793
CUHKPQ24750,0
1197868,0.70638
111396,0.403658537
CUHKPQ15950,0
CUHKPQ1407,1
SPAQ00925,0.1058
495922,0.3896
871558,0.375829384
PORTRAIT3817,1
CUHKPQ809,1
NG1704,1
CUHKPQ22223,0
PN4033617,0.833
GLAMOUR1601,1
129033,0.399354839
CUHKPQ14498,0
CUHKPQ21155,0
GLAMOUR1760,1
490824,0.4
27201,0.349790795
NG4005,1
174825,0.311428571
PORTRAIT2099,1
CUHKPQ4800,1
PN4033441,0.75
PORTRAIT4180,1
981095,0.74686
656408,0.38963964
677944,0.458641975
CUHKPQ10488,1
PORTRAIT2306,1
884674,0.434640523
CUHKPQ27845,0
445777,0.743303571
CUHKPQ19846,0
110482,0.344525547
CUHKPQ17603,0
SPAQ00018,0.3157
PSA2493,1
CUHKPQ24011,0
951150,0.457831325
NG1448,1
CUHKPQ21171,0
CUHKPQ10390,1
GLAMOUR1051,1
NG3211,1
CUHKPQ27761,0
437879,0.4404
NG3377,1
CUHKPQ13633,0
PN4048092,0.833
PSA2979,1
72720,0.457831325
CUHKPQ16856,0
AF1124,0.71
CUHKPQ24407,0
PN4015770,0.745
206668,0.423243243
PN4010986,0.927
CUHKPQ18285,0
SPAQ03050,0.2717
CUHKPQ17200,0
CUHKPQ19653,0
CUHKPQ11284,0
720063,0.372777778
853678,0.38125
CUHKPQ4146,1
PSA925,1
CUHKPQ25423,0
CUHKPQ1842,1
CUHKPQ26466,0
PSA2751,1
284620,0.376764706
PORTRAIT4259,1
CUHKPQ29436,0
NG2354,1
CUHKPQ19744,0
2457,0.379372197
CUHKPQ29097,0
CUHKPQ1290,1
PORTRAIT3736,1
SPAQ02078,0.3857
5192,0.706338028
717103,0.421714286
CUHKPQ18782,0
CUHKPQ10446,1
CUHKPQ11783,0
CUHKPQ27475,0
PN4030436,0.733
316819,0.374074074
PN4084835,0.773
AM115,0.38
CUHKPQ17018,0
CUHKPQ20445,0
CUHKPQ21672,0
663932,0.711801242
CUHKPQ15314,0
CUHKPQ10091,1
1229932,0.39118
CUHKPQ24214,0
874875,0.38125
CUHKPQ26158,0
CUHKPQ7915,1
CUHKPQ13825,0
PORTRAIT3130,1
PSA1055,1
298139,0.431046931
CUHKPQ21945,0
CUHKPQ26353,0
263738,0.377307692
GLAMOUR2658,1
CUHKPQ14571,0
CUHKPQ21306,0
PSA3064,1
243018,0.431496063
SPAQ05510,0.3763
CUHKPQ862,1
CUHKPQ18084,0
SPAQ04980,0.2233
CUHKPQ8304,1
475928,0.389655172
GLAMOUR761,1
SPAQ03146,0.2488
CUHKPQ8380,1
83208,0.3704
319546,0.385416667
NG1178,1
CUHKPQ11292,0
CUHKPQ13223,0
23383,0.377209302
PN2651689,0.733
NG1799,1
PORTRAIT3644,1
CUHKPQ26987,0
PN1623156,0.758
CUHKPQ27885,0
PN4049692,0.743
SPAQ01168,0.3756
730466,0.441353383
CUHKPQ16427,0
CUHKPQ18156,0
950494,0.704784689
34305,0.32
422636,0.663043478
CUHKPQ12584,0
JX321,1
CUHKPQ28860,0
CUHKPQ29003,0
PORTRAIT1502,1
NG1225,1
CUHKPQ11317,0
1167382,0.39518
PN4030938,0.77
CUHKPQ21680,0
CUHKPQ22010,0
663914,0.69691358
CUHKPQ8494,1
OUTDOOR1743,1
CUHKPQ24729,0
PN1870685,0.823
SPAQ02783,0.2707
CUHKPQ28606,0
CUHKPQ22861,0
GLAMOUR808,1
CUHKPQ25820,0
SPAQ11051,0.275
CUHKPQ14203,0
12935,0.361139896
PN1860785,0.768
SPAQ00741,0.3738
GLAMOUR1238,1
PN4005942,0.718
CUHKPQ12524,0
SPAQ09239,0.3178
SPAQ01204,0.4
878387,0.453459119
PSA2596,1
AF1478,0.79
827569,0.457635468
CUHKPQ28042,0
PORTRAIT3687,1
OUTDOOR493,1
CUHKPQ20762,0
SPAQ08601,0.256
522674,0.724064171
PORTRAIT1889,1
CUHKPQ10056,1
PORTRAIT4290,1
CUHKPQ6427,1
CUHKPQ5878,1
CUHKPQ14045,0
PN895019,0.872
SPAQ07378,0.144
CUHKPQ2153,1
962627,0.72123
JX647,0
66442,0.408928571
CUHKPQ29005,0
PORTRAIT2526,1
CUHKPQ26003,0
CM42,0.8966666
SPAQ02290,0.3
CUHKPQ28098,0
PN1831696,0.87
CUHKPQ3765,1
CUHKPQ29155,0
CUHKPQ10961,0
PORTRAIT2227,1
CUHKPQ10517,1
CUHKPQ26229,0
65834,0.764171123
NG2091,1
1827,0.344642857
PN4014961,0.855
PN4075992,0.742
CUHKPQ27048,0
SPAQ10640,0.28
CUHKPQ4539,1
CUHKPQ28611,0
146162,0.346964856
PSA2007,1
CUHKPQ8291,1
285456,0.420121951
PORTRAIT2478,1
NG2753,1
PN2471154,0.717
CUHKPQ20936,0
CUHKPQ18896,0
PN4071750,0.767
PSA3459,1
CUHKPQ19308,0
3901,0.410612245
PN4052462,0.763
SPAQ06454,0.3257
673578,0.390419162
CUHKPQ1479,1
52510,0.331818182
PORTRAIT2770,1
PN4003548,0.838
CUHKPQ5679,1
PORTRAIT2557,1
PORTRAIT1133,1
CUHKPQ1253,1
874286,0.297777778
CUHKPQ15868,0
544223,0.703960396
CUHKPQ9746,1
NG886,1
PN4033740,0.788
NG4102,1
651131,0.72804428
CUHKPQ10856,0
SPAQ05467,0.3063
CUHKPQ26874,0
CUHKPQ13036,0
NG922,1
978626,0.71198
AF1262,0.76
CUHKPQ16953,0
851402,0.660076046
CUHKPQ28452,0
87816,0.431468531
CUHKPQ14208,0
42761,0.421834061
CUHKPQ13437,0
SPAQ05752,0.3438
CUHKPQ1650,1
PN4043550,0.898
NG1996,1
CUHKPQ1648,1
PSA1083,1
PN4040948,0.667
CUHKPQ18123,0
CUHKPQ18949,0
